seed,method,rho,channel_rank,h,cfp_f1_percent,oct_f1_percent,mean_f1_percent,cfp_gain_vs_baseline_pp,oct_gain_vs_baseline_pp,mean_gain_vs_baseline_pp,best_epoch,stop_epoch,total_parameters,bridge_stored,bridge_effective,gpu_minutes,peak_process_mib,directory,summary_sha256
3416,Learned channel / Radon,1/16,16,512,67.41882223445239,67.09414933241649,67.25648578343444,0.5284419212532896,1.958695857740409,1.2435688894968564,7,13,47500676,3162112,3162112,3.752620699900096,7906,/data/mengh/RadonBridge/runs/2026_09_05_13_32_31/seed3416_channel_svd_radon_rho1_16,c1b79673514109a4f743f29058f6c95c83838c60c2831bb59c0fc17ffbec4c38
3416,Learned channel / Self only,1/16,16,512,66.8903803131991,65.13545347467608,66.01291689393759,0.0,0.0,0.0,0,8,47500676,3162112,1589248,2.4260576108332317,7906,/data/mengh/RadonBridge/runs/2026_09_05_13_32_31/seed3416_channel_svd_self_rho1_16,31557a37ab0c4c2bdcdc15773b39fa7ba8523c8fa7fbc378f15d75688e4564d4
3416,Learned channel / Scrambled Radon,1/16,16,512,68.15018315018315,65.51535087719299,66.83276701368807,1.2598028369840506,0.37989740251690307,0.8198501197504839,7,13,47500676,3162112,3162112,3.773301518633525,7906,/data/mengh/RadonBridge/runs/2026_09_05_13_32_31/seed3416_channel_svd_scrambled_rho1_16,f94ff1be724764bcd232059441c69c7ba9c4e08b90e821e37f3d1d368b1054ff
3416,Learned channel / Linear resampling,1/16,16,512,66.8903803131991,65.13545347467608,66.01291689393759,0.0,0.0,0.0,0,8,47500676,3162112,3162112,2.2876774509667785,7848,/data/mengh/RadonBridge/runs/2026_09_05_13_32_31/seed3416_channel_svd_resample_rho1_16,5b34f885950077325e2fb8447101a12af97fef679356db6915afd8c38412de6c
3416,Learned channel / Radon,1/8,32,1024,70.92470760233918,68.24324324324324,69.58397542279121,4.03432728914008,3.1077897685671587,3.5710585288536265,10,16,56954244,12615680,12615680,4.723925128983198,8012,/data/mengh/RadonBridge/runs/2026_09_05_13_32_31/seed3416_channel_svd_radon_rho1_8,4b39b18528436d826401efa8f8155de14bb7c2bea7dd83d52bd3e065068eba6b
3416,Learned channel / Self only,1/8,32,1024,66.8903803131991,65.13545347467608,66.01291689393759,0.0,0.0,0.0,0,8,56954244,12615680,6324224,2.511319310983284,8012,/data/mengh/RadonBridge/runs/2026_09_05_13_32_31/seed3416_channel_svd_self_rho1_8,c39785e716e4653fc3210da05879963a83383c7235bae4fd588098fcc2c94880
3416,Learned channel / Scrambled Radon,1/8,32,1024,71.60995661109843,67.77262048020171,69.69128854565007,4.719576297899323,2.637167005525626,3.6783716517124816,10,16,56954244,12615680,12615680,4.7991429199501,8012,/data/mengh/RadonBridge/runs/2026_09_05_13_32_31/seed3416_channel_svd_scrambled_rho1_8,5aa9520ac383a75892cb6c25a494649da5d4f9d3edeb6fe05b8dcc1944787bd8
3416,Learned channel / Linear resampling,1/8,32,1024,66.8903803131991,65.13545347467608,66.01291689393759,0.0,0.0,0.0,0,8,56954244,12615680,12615680,2.3395216200832993,8154,/data/mengh/RadonBridge/runs/2026_09_05_13_32_31/seed3416_channel_svd_resample_rho1_8,7999be12edefec02df0b19c165f8dc04424169e25136d39a9f811b500bb50a4c
3416,Learned channel / Radon,1/4,64,2048,71.2677150067948,72.61982253588681,71.94376877134081,4.377334693595699,7.484369061210728,5.930851877403228,11,17,94735748,50397184,50397184,5.650043521899836,8114,/data/mengh/RadonBridge/runs/2026_09_05_13_32_31/seed3416_channel_svd_radon_rho1_4,544a6e2a43d8641eddea2046852ded75542b233db6504b7aeeedde5364649a03
3416,Learned channel / Self only,1/4,64,2048,66.8903803131991,65.13545347467608,66.01291689393759,0.0,0.0,0.0,0,8,94735748,50397184,25231360,2.9072220793333448,8114,/data/mengh/RadonBridge/runs/2026_09_05_13_32_31/seed3416_channel_svd_self_rho1_4,20b8ed197f4719d557ac20c83cef7ded5bd8e328042a459a4b22f0c614201501
3416,Learned channel / Scrambled Radon,1/4,64,2048,68.17204301075267,70.15992301700041,69.16598301387654,1.2816626975535712,5.024469542324326,3.1530661199389556,9,13,94735748,50397184,50397184,4.444868070049901,8114,/data/mengh/RadonBridge/runs/2026_09_05_13_32_31/seed3416_channel_svd_scrambled_rho1_4,78254c73bafc7a3457f83f4390bcaaed3bf898fd2ceb269ddca32a0967ea899f
3416,Learned channel / Linear resampling,1/4,64,2048,69.58209636903403,67.90210827901879,68.7421023240264,2.691716055834931,2.766654804342707,2.729185430088819,15,21,94735748,50397184,50397184,6.291488256983333,8132,/data/mengh/RadonBridge/runs/2026_09_05_13_32_31/seed3416_channel_svd_resample_rho1_4,418052fd0735d6f40133545f2b5702ec9002883cf6b653a0ad5559e6da55c25f
3417,Learned channel / Radon,1/16,16,512,65.79052762870319,63.338773714854554,64.56465067177888,1.9428898828609533,-0.8487805014628407,0.5470546906990705,6,12,47500676,3162112,3162112,3.431469576949894,7906,/data/mengh/RadonBridge/runs/2026_09_05_13_32_31/seed3417_channel_svd_radon_rho1_16,5a7ea839a48439e5346429d586f9ef4c93f4b6bd70004246fc0e7b61474eeedb
3417,Learned channel / Self only,1/16,16,512,63.847637745842235,64.1875542163174,64.01759598107981,0.0,0.0,0.0,0,8,47500676,3162112,1589248,2.3878311698332255,7906,/data/mengh/RadonBridge/runs/2026_09_05_13_32_31/seed3417_channel_svd_self_rho1_16,2d96578f42df41eda474728db157f1b148474b3ea38cd19b66bcfc3207ec054e
3417,Learned channel / Scrambled Radon,1/16,16,512,63.847637745842235,64.1875542163174,64.01759598107981,0.0,0.0,0.0,0,8,47500676,3162112,3162112,2.4073863336833408,7906,/data/mengh/RadonBridge/runs/2026_09_05_13_32_31/seed3417_channel_svd_scrambled_rho1_16,3f45fcfddcf0903140a3f5eeb2880ac19c35827e9afdad197c92a591ef17b6fc
