subset,rho,mechanism,branch,centered_minus_uncentered_pp,ci95_low,ci95_high
all3,1/8,svd_radon,oct,0.026513623422215932,-2.583388179342682,2.602931786482799
all3,1/8,svd_radon,mean,0.19278408882215659,-1.7896087366668252,2.2273500739764422
all3,1/8,svd_self,cfp,0.0,0.0,0.0
all3,1/8,svd_self,oct,0.0,0.0,0.0
all3,1/8,svd_self,mean,0.0,0.0,0.0
all3,1/8,svd_scrambled,cfp,1.5178360157509543,-0.9501307652548722,4.0069469113345235
all3,1/8,svd_scrambled,oct,-0.2619200688501818,-2.7975741324457677,2.273315048894121
all3,1/8,svd_scrambled,mean,0.6279579734503863,-1.3514348683462658,2.556885950212554
all3,1/8,svd_resample,cfp,-0.7035338295975357,-3.3646239761934664,1.8934499584554545
all3,1/8,svd_resample,oct,-0.5617921042279577,-3.2503301612105586,2.098907660634592
all3,1/8,svd_resample,mean,-0.6326629669127467,-2.525773945426811,1.2348711404439183
all3,1/4,svd_radon,cfp,-0.6196584738360784,-3.3540962441795164,2.1488365882750027
all3,1/4,svd_radon,oct,1.3324460912181277,-1.4103964731101746,4.028655787628402
all3,1/4,svd_radon,mean,0.3563938086910246,-2.1823850756623093,2.821854561971508
all3,1/4,svd_self,cfp,0.0,0.0,0.0
all3,1/4,svd_self,oct,0.0,0.0,0.0
all3,1/4,svd_self,mean,0.0,0.0,0.0
all3,1/4,svd_scrambled,cfp,2.6102119003900066,0.0028854352367389475,5.297206432397805
all3,1/4,svd_scrambled,oct,-1.3809220352612783,-4.251753988187904,1.4688027239998143
all3,1/4,svd_scrambled,mean,0.614644932564364,-1.6473171680294743,2.9002351128498116
all3,1/4,svd_resample,cfp,0.05491629326270786,-2.2613980853710656,2.4174335139778504
all3,1/4,svd_resample,oct,-0.24273638479063533,-3.0597366936163892,2.644461718758757
all3,1/4,svd_resample,mean,-0.09391004576396374,-1.9918514900876638,1.8792750842944028
