id,seed,backbone_lr,arm,rho,r,h,cfp_f1_percent,oct_f1_percent,fusion_f1_percent,native_probability_average_f1_percent,mean_native_f1_percent,parameters,fusion_parameters,communication_parameters,best_epoch,stop_epoch,gpu_seconds,peak_process_mib
seed3418_bb3e-05_gated_mil,3418,3e-05,gated_mil,,,,65.19277094678677,61.442479089537905,68.23018954099109,68.55200776832125,63.31762501816234,44864390,525826,0,8,8,240.18231262100744,7804
seed3418_bb3e-05_svd_rho1_16,3418,3e-05,svd_rho1_16,0.0625,16,512,66.8903803131991,65.15458026172925,70.94063926940639,71.61643835616438,66.02248028746418,47747206,262914,3145728,14,20,345.30414224398555,7910
seed3418_bb3e-05_svd_rho1_8,3418,3e-05,svd_rho1_8,0.125,32,1024,69.55401204248385,67.38741220217601,70.23819154714714,68.55136733185515,68.47071212232993,57184390,262914,12582912,12,18,448.14680652000243,7978
seed3418_bb3e-05_svd_rho1_4,3418,3e-05,svd_rho1_4,0.25,64,2048,68.90614295501256,66.54450799739699,67.90503909147976,67.2203765227021,67.72532547620477,94933126,262914,50331648,14,15,308.5303619740007,8148
seed3418_bb3e-05_mmtm_r4,3418,3e-05,mmtm_r4,,,,63.847637745842235,61.343536635659625,68.58072247902756,68.55200776832125,62.59558719075093,44864390,262914,262912,5,10,295.7875561149849,7932
seed3418_bb3e-05_mmtm_r8,3418,3e-05,mmtm_r8,,,,66.88584474885845,60.10599415204678,71.58919511860688,72.56468057351444,63.49591945045261,44733190,262914,131712,17,23,367.2190994589764,7930
seed3418_bb3e-05_attention_d128,3418,3e-05,attention_d128,,,,66.41567818463126,66.85406097170802,71.28345602921874,68.82783882783883,66.63486957816964,44865926,262914,264448,12,18,522.9785960009904,8140
seed3418_bb3e-05_attention_d256,3418,3e-05,attention_d256,,,,66.18314003808206,61.750546045033,71.60995661109843,68.86775196634352,63.96684304155753,45128838,262914,527360,6,12,201.80811434797943,8180
seed3418_bb6e-05_concat_mlp,3418,6e-05,concat_mlp,,,,62.48929684556632,62.15525114155251,70.26891293430124,69.25359845674433,62.32227399355942,44601478,262914,0,18,24,666.5303211830033,7800
seed3418_bb6e-05_gated_mil,3418,6e-05,gated_mil,,,,62.79537456008044,59.34065934065934,70.59971914922765,69.19734239024781,61.068016950369895,44864390,525826,0,25,31,486.19390393199865,7804
seed3418_bb6e-05_svd_rho1_16,3418,6e-05,svd_rho1_16,0.0625,16,512,68.90614295501256,65.38249862410566,70.22132796780684,68.12537231361408,67.14432078955912,47747206,262914,3145728,9,15,386.7157898689911,7910
seed3418_bb6e-05_svd_rho1_8,3418,6e-05,svd_rho1_8,0.125,32,1024,65.46328071379548,66.31375659550987,65.43956043956044,65.02667049039289,65.88851865465269,57184390,262914,12582912,14,20,355.87344107599347,7978
seed3418_bb6e-05_svd_rho1_4,3418,6e-05,svd_rho1_4,0.25,64,2048,70.20361473347062,68.20695644225057,69.90460958473753,68.55200776832125,69.20528558786059,94933126,262914,50331648,3,9,250.76152630601428,8148
seed3418_bb6e-05_mmtm_r4,3418,6e-05,mmtm_r4,,,,63.50684931506849,63.15506983224274,68.91324200913243,69.9293435456071,63.33095957365562,44864390,262914,262912,10,16,258.4516874270048,7932
seed3418_bb6e-05_mmtm_r8,3418,6e-05,mmtm_r8,,,,60.80902159521526,61.771529801702954,68.50018880662768,66.54450799739699,61.290275698459105,44733190,262914,131712,2,8,235.06631802301854,7930
seed3418_bb6e-05_attention_d128,3418,6e-05,attention_d128,,,,64.50717736133475,62.07732784259894,68.91324200913243,68.57211357331232,63.29225260196685,44865926,262914,264448,5,11,184.90828500999487,8140
seed3418_bb6e-05_attention_d256,3418,6e-05,attention_d256,,,,62.160434643656124,63.3963965005143,67.14535821766543,66.06127316088791,62.77841557208521,45128838,262914,527360,3,9,268.59357926700613,8180
