arm,seed,r,stages,phase,split,source,bridge,C,rho,h,M,S,k,group,participants,metric,mean,sample_sd,defined_participants,undefined_participants
svd_radon,3416,16,[3],selected,validation,cfp_stage3,0,256,0.0625,512,32,64,3,label0,148,total_relative,0.6225144551188762,0.025569936055035523,148,0
svd_radon,3416,16,[3],selected,validation,cfp_stage3,0,256,0.0625,512,32,64,3,label0,148,self_cross_cosine,0.36969270591182335,0.03972850076882383,148,0
svd_radon,3416,16,[3],selected,validation,cfp_stage3,0,256,0.0625,512,32,64,3,label0,148,energy_identity_relative_error,8.179144209152758e-17,6.595839748403457e-17,148,0
svd_radon,3416,16,[3],selected,validation,cfp_stage3,0,256,0.0625,512,32,64,3,label0,148,channel_energy_retained,0.5877191717948509,0.020963009320451663,148,0
svd_radon,3416,16,[3],selected,validation,cfp_stage3,0,256,0.0625,512,32,64,3,label1,148,self_relative,0.4249682425837544,0.0151609499865668,148,0
svd_radon,3416,16,[3],selected,validation,cfp_stage3,0,256,0.0625,512,32,64,3,label1,148,cross_relative,0.3132539861560825,0.024177201013564107,148,0
svd_radon,3416,16,[3],selected,validation,cfp_stage3,0,256,0.0625,512,32,64,3,label1,148,total_relative,0.6122087205761508,0.028268860387302565,148,0
svd_radon,3416,16,[3],selected,validation,cfp_stage3,0,256,0.0625,512,32,64,3,label1,148,self_cross_cosine,0.36054365073652167,0.04263345439963909,148,0
svd_radon,3416,16,[3],selected,validation,cfp_stage3,0,256,0.0625,512,32,64,3,label1,148,energy_identity_relative_error,7.4409006398962e-17,5.562997871846945e-17,148,0
svd_radon,3416,16,[3],selected,validation,cfp_stage3,0,256,0.0625,512,32,64,3,label1,148,channel_energy_retained,0.5859267054462423,0.021957659852370484,148,0
svd_radon,3416,16,[3],selected,validation,oct_stage3,0,256,0.0625,512,32,64,3,all,296,self_relative,0.9681229946284425,0.05102501483743464,296,0
svd_radon,3416,16,[3],selected,validation,oct_stage3,0,256,0.0625,512,32,64,3,all,296,cross_relative,1.2079926553872244,0.10956383384755283,296,0
svd_radon,3416,16,[3],selected,validation,oct_stage3,0,256,0.0625,512,32,64,3,all,296,total_relative,1.5062716305772286,0.08126987229832543,296,0
svd_radon,3416,16,[3],selected,validation,oct_stage3,0,256,0.0625,512,32,64,3,all,296,self_cross_cosine,-0.0541635931577112,0.05862156821745297,296,0
svd_radon,3416,16,[3],selected,validation,oct_stage3,0,256,0.0625,512,32,64,3,all,296,energy_identity_relative_error,7.888959827203964e-17,6.351431491577339e-17,296,0
svd_radon,3416,16,[3],selected,validation,oct_stage3,0,256,0.0625,512,32,64,3,all,296,channel_energy_retained,0.5063242979284902,0.0256251688738967,296,0
svd_radon,3416,16,[3],selected,validation,oct_stage3,0,256,0.0625,512,32,64,3,label0,148,self_relative,0.9615030638462351,0.05041275287109494,148,0
svd_radon,3416,16,[3],selected,validation,oct_stage3,0,256,0.0625,512,32,64,3,label0,148,cross_relative,1.1721329907090148,0.08665471622778106,148,0
svd_radon,3416,16,[3],selected,validation,oct_stage3,0,256,0.0625,512,32,64,3,label0,148,total_relative,1.4808284153684972,0.06301769439677446,148,0
svd_radon,3416,16,[3],selected,validation,oct_stage3,0,256,0.0625,512,32,64,3,label0,148,self_cross_cosine,-0.0459670171796256,0.05964705383645208,148,0
svd_radon,3416,16,[3],selected,validation,oct_stage3,0,256,0.0625,512,32,64,3,label0,148,energy_identity_relative_error,7.681759911540537e-17,6.183915401552782e-17,148,0
svd_radon,3416,16,[3],selected,validation,oct_stage3,0,256,0.0625,512,32,64,3,label0,148,channel_energy_retained,0.5044625385722907,0.02612532842439651,148,0
svd_radon,3416,16,[3],selected,validation,oct_stage3,0,256,0.0625,512,32,64,3,label1,148,self_relative,0.97474292541065,0.050942385695279105,148,0
svd_radon,3416,16,[3],selected,validation,oct_stage3,0,256,0.0625,512,32,64,3,label1,148,cross_relative,1.2438523200654343,0.11828678046403875,148,0
svd_radon,3416,16,[3],selected,validation,oct_stage3,0,256,0.0625,512,32,64,3,label1,148,total_relative,1.531714845785959,0.08932951951743927,148,0
svd_radon,3416,16,[3],selected,validation,oct_stage3,0,256,0.0625,512,32,64,3,label1,148,self_cross_cosine,-0.06236016913579683,0.056597713546711385,148,0
svd_radon,3416,16,[3],selected,validation,oct_stage3,0,256,0.0625,512,32,64,3,label1,148,energy_identity_relative_error,8.09615974286739e-17,6.529052992789702e-17,148,0
svd_radon,3416,16,[3],selected,validation,oct_stage3,0,256,0.0625,512,32,64,3,label1,148,channel_energy_retained,0.5081860572846897,0.025064981986362856,148,0
svd_radon,3416,16,[3],selected,test,cfp_stage3,0,256,0.0625,512,32,64,3,all,290,self_relative,0.42507622399346523,0.01358858842894145,290,0
