arm,bridge,checkpoint_sha256,dc_gain,kernel,maximum_gain,minimum_gain,nyquist_gain,r,receiver,role,seed,sender,stages,width_in,width_out,zero_operator
svd_radon,0,91f9c170dbe47c58143bf5e7c71e7e67e8ed906e359ae731fd53d6e435e19bfe,4.386685317964107,3,4.386685317964107,0.5398248550862785,1.422201219076999,32,cfp_stage3,self,3418,cfp_stage3,[3],1024,1024,False
svd_radon,0,91f9c170dbe47c58143bf5e7c71e7e67e8ed906e359ae731fd53d6e435e19bfe,3.1701983921566192,3,3.1701983921566192,0.30513156012232767,1.041030552663771,32,cfp_stage3,cross,3418,oct_stage3,[3],1024,1024,False
svd_radon,0,91f9c170dbe47c58143bf5e7c71e7e67e8ed906e359ae731fd53d6e435e19bfe,6.7223001114891145,3,6.7223001114891145,0.5497236921616134,2.212318931576075,32,oct_stage3,cross,3418,cfp_stage3,[3],1024,1024,False
svd_radon,0,91f9c170dbe47c58143bf5e7c71e7e67e8ed906e359ae731fd53d6e435e19bfe,2.7043428019148013,3,2.7043428019148013,0.18558578632900397,0.8960900442101173,32,oct_stage3,self,3418,oct_stage3,[3],1024,1024,False
svd_radon,0,f351726da0cedea6ac27d54dde2add4a300a7169dd8a27a9dbb89ed38467cb5d,8.240136619396308,3,8.240136619396308,0.778686860648982,2.7017766513315546,64,cfp_stage3,self,3418,cfp_stage3,[3],2048,2048,False
svd_radon,0,f351726da0cedea6ac27d54dde2add4a300a7169dd8a27a9dbb89ed38467cb5d,6.089053662848698,3,6.089053662848698,0.44534027197949916,2.011614519728132,64,cfp_stage3,cross,3418,oct_stage3,[3],2048,2048,False
svd_radon,0,f351726da0cedea6ac27d54dde2add4a300a7169dd8a27a9dbb89ed38467cb5d,9.664847666300984,3,9.664847666300984,0.5538259914264958,3.2015536248496317,64,oct_stage3,cross,3418,cfp_stage3,[3],2048,2048,False
svd_radon,0,f351726da0cedea6ac27d54dde2add4a300a7169dd8a27a9dbb89ed38467cb5d,5.822299688843977,3,5.822299688843977,0.28900724398047556,1.9345282415060285,64,oct_stage3,self,3418,oct_stage3,[3],2048,2048,False
qr_radon,0,2ed360db75a5eda1fb2a305acf8f09f12d8e26aa836535011ba6490bfc18b1c9,1.508822305527175,3,1.508822305527175,0.17805210188818568,0.493139248980667,16,cfp_stage3,self,3418,cfp_stage3,[3],512,512,False
qr_radon,0,2ed360db75a5eda1fb2a305acf8f09f12d8e26aa836535011ba6490bfc18b1c9,1.3914185037423468,3,1.3914185037423468,0.1328787251000718,0.4577154233581788,16,cfp_stage3,cross,3418,oct_stage3,[3],512,512,False
qr_radon,0,2ed360db75a5eda1fb2a305acf8f09f12d8e26aa836535011ba6490bfc18b1c9,1.7451275032363438,3,1.7451275032363438,0.12271497426125694,0.5760383602780287,16,oct_stage3,cross,3418,cfp_stage3,[3],512,512,False
qr_radon,0,2ed360db75a5eda1fb2a305acf8f09f12d8e26aa836535011ba6490bfc18b1c9,0.9142758795943297,3,0.9142758795943297,0.07292084954103237,0.30230598315233337,16,oct_stage3,self,3418,oct_stage3,[3],512,512,False
svd_resample,0,37ce3f51a43355f18024f5d25c45406b4b6726f693ab7e170a4a4f6b3e23708d,1.7384281587781154,3,1.7384281587781154,0.10627018432787663,0.576880435865915,16,cfp_stage3,self,3418,cfp_stage3,[3],512,512,False
svd_resample,0,37ce3f51a43355f18024f5d25c45406b4b6726f693ab7e170a4a4f6b3e23708d,2.1545416028882562,3,2.1545416028882562,0.1717125952946525,0.7112651308732046,16,cfp_stage3,cross,3418,oct_stage3,[3],512,512,False
svd_resample,0,37ce3f51a43355f18024f5d25c45406b4b6726f693ab7e170a4a4f6b3e23708d,1.8149268296271284,3,1.8149268296271284,0.11383129760585749,0.6016952953231675,16,oct_stage3,cross,3418,cfp_stage3,[3],512,512,False
svd_resample,0,37ce3f51a43355f18024f5d25c45406b4b6726f693ab7e170a4a4f6b3e23708d,1.4428941353513811,3,1.4428941353513811,0.0921154181595605,0.4788289716964921,16,oct_stage3,self,3418,oct_stage3,[3],512,512,False
