id,primary,seeds,rhos,branches,difference_pp,ci95_low,ci95_high,simultaneous95_low,simultaneous95_high,bootstrap_sd_pp,classification,zero_variance
"basis_geometry_interaction_seeds[3416, 3417, 3418]_rhos[0.25]_branches[0]",False,"[3416, 3417, 3418]",[0.25],['cfp'],1.2583204570565056,-1.972179409350432,4.459031446508832,,,1.6444325183987167,secondary_no_simultaneous_classification,False
"basis_geometry_interaction_seeds[3416, 3417, 3418]_rhos[0.25]_branches[1]",False,"[3416, 3417, 3418]",[0.25],['oct'],-1.9006255204426157,-5.746625919928268,1.8546253476402377,,,1.9640908907563404,secondary_no_simultaneous_classification,False
"basis_geometry_interaction_seeds[3416, 3417, 3418]_rhos[0.25]_branches[0, 1]",False,"[3416, 3417, 3418]",[0.25],"['cfp', 'oct']",-0.321152531693055,-3.23180721368118,2.461020852200313,,,1.4653558611632804,secondary_no_simultaneous_classification,False
"basis_geometry_interaction_seeds[3416]_rhos[0.0625, 0.125, 0.25]_branches[0]",False,[3416],"[0.0625, 0.125, 0.25]",['cfp'],0.2668016341821584,-2.1674286378358354,2.752824205382522,,,1.2573317422358352,secondary_no_simultaneous_classification,False
"basis_geometry_interaction_seeds[3416]_rhos[0.0625, 0.125, 0.25]_branches[1]",False,[3416],"[0.0625, 0.125, 0.25]",['oct'],1.1393020984896758,-1.6041161734239593,3.9418988183781076,,,1.4127797436652818,secondary_no_simultaneous_classification,False
"basis_geometry_interaction_seeds[3416]_rhos[0.0625, 0.125, 0.25]_branches[0, 1]",False,[3416],"[0.0625, 0.125, 0.25]","['cfp', 'oct']",0.7030518663359171,-1.301681339485797,2.7388605639235606,,,1.027378609422691,secondary_no_simultaneous_classification,False
basis_geometry_interaction_seeds[3416]_rhos[0.0625]_branches[0],False,[3416],[0.0625],['cfp'],2.6819881078535275,-1.941008325491761,7.414315610029279,,,2.366569616178274,secondary_no_simultaneous_classification,False
basis_geometry_interaction_seeds[3416]_rhos[0.0625]_branches[1],False,[3416],[0.0625],['oct'],4.078787339084698,-0.9515772227282906,9.33073836121391,,,2.613066962713419,secondary_no_simultaneous_classification,False
"basis_geometry_interaction_seeds[3416]_rhos[0.0625]_branches[0, 1]",False,[3416],[0.0625],"['cfp', 'oct']",3.380387723469113,-0.29075070147179716,7.10833543390305,,,1.8878663431152225,secondary_no_simultaneous_classification,False
basis_geometry_interaction_seeds[3416]_rhos[0.125]_branches[0],False,[3416],[0.125],['cfp'],-1.612478260280966,-7.411820250659357,4.170586474582614,,,2.962727678310404,secondary_no_simultaneous_classification,False
basis_geometry_interaction_seeds[3416]_rhos[0.125]_branches[1],False,[3416],[0.125],['oct'],1.6941619786690438,-5.137361058100504,8.666533387981165,,,3.502203270945979,secondary_no_simultaneous_classification,False
"basis_geometry_interaction_seeds[3416]_rhos[0.125]_branches[0, 1]",False,[3416],[0.125],"['cfp', 'oct']",0.04084185919403893,-4.83882481157573,4.961335942089685,,,2.4825965253119695,secondary_no_simultaneous_classification,False
basis_geometry_interaction_seeds[3416]_rhos[0.25]_branches[0],False,[3416],[0.25],['cfp'],-0.2691049450261005,-5.832658375536488,5.445597295385019,,,2.890946244776805,secondary_no_simultaneous_classification,False
basis_geometry_interaction_seeds[3416]_rhos[0.25]_branches[1],False,[3416],[0.25],['oct'],-2.3550430222847183,-8.352395638132432,3.6497366140222534,,,3.0598898394399416,secondary_no_simultaneous_classification,False
"basis_geometry_interaction_seeds[3416]_rhos[0.25]_branches[0, 1]",False,[3416],[0.25],"['cfp', 'oct']",-1.3120739836554094,-5.997016329540493,3.3068751894152073,,,2.392595827887262,secondary_no_simultaneous_classification,False
"basis_geometry_interaction_seeds[3417]_rhos[0.0625, 0.125, 0.25]_branches[0]",False,[3417],"[0.0625, 0.125, 0.25]",['cfp'],2.767404893631536,-0.1053937276162185,5.722699704750423,,,1.4895997480777496,secondary_no_simultaneous_classification,False
"basis_geometry_interaction_seeds[3417]_rhos[0.0625, 0.125, 0.25]_branches[1]",False,[3417],"[0.0625, 0.125, 0.25]",['oct'],2.637321078674333,-0.2929650894027048,5.589988766971052,,,1.5103486834086748,secondary_no_simultaneous_classification,False
"basis_geometry_interaction_seeds[3417]_rhos[0.0625, 0.125, 0.25]_branches[0, 1]",False,[3417],"[0.0625, 0.125, 0.25]","['cfp', 'oct']",2.7023629861529344,0.36959571975431377,5.02071651594677,,,1.1930080078950485,secondary_no_simultaneous_classification,False
basis_geometry_interaction_seeds[3417]_rhos[0.0625]_branches[0],False,[3417],[0.0625],['cfp'],4.343326219769622,-0.6590981203326894,9.373005103706971,,,2.5490946639935177,secondary_no_simultaneous_classification,False
basis_geometry_interaction_seeds[3417]_rhos[0.0625]_branches[1],False,[3417],[0.0625],['oct'],4.375945732293374,-0.6919224195572309,9.514147572888012,,,2.6239220078847443,secondary_no_simultaneous_classification,False
"basis_geometry_interaction_seeds[3417]_rhos[0.0625]_branches[0, 1]",False,[3417],[0.0625],"['cfp', 'oct']",4.359635976031498,0.5730885216151905,8.08724917177047,,,1.9170284046940538,secondary_no_simultaneous_classification,False
basis_geometry_interaction_seeds[3417]_rhos[0.125]_branches[0],False,[3417],[0.125],['cfp'],0.7629163659826048,-3.072447537573004,4.647224252576722,,,1.9755982260970932,secondary_no_simultaneous_classification,False
basis_geometry_interaction_seeds[3417]_rhos[0.125]_branches[1],False,[3417],[0.125],['oct'],4.415623888713057,-0.3360947157929519,9.253820130265822,,,2.4505146928569608,secondary_no_simultaneous_classification,False
"basis_geometry_interaction_seeds[3417]_rhos[0.125]_branches[0, 1]",False,[3417],[0.125],"['cfp', 'oct']",2.589270127347831,-0.7755826509355609,5.878949186399763,,,1.6966854345557314,secondary_no_simultaneous_classification,False
basis_geometry_interaction_seeds[3417]_rhos[0.25]_branches[0],False,[3417],[0.25],['cfp'],3.1959720951423805,-2.641582183865569,9.26522742912629,,,3.0540134264325896,secondary_no_simultaneous_classification,False
basis_geometry_interaction_seeds[3417]_rhos[0.25]_branches[1],False,[3417],[0.25],['oct'],-0.8796063849834184,-7.617828584473263,5.72996245246112,,,3.4126139783010943,secondary_no_simultaneous_classification,False
"basis_geometry_interaction_seeds[3417]_rhos[0.25]_branches[0, 1]",False,[3417],[0.25],"['cfp', 'oct']",1.158182855079481,-4.051433269018877,6.352858021916161,,,2.6638764452063635,secondary_no_simultaneous_classification,False
"basis_geometry_interaction_seeds[3418]_rhos[0.0625, 0.125, 0.25]_branches[0]",False,[3418],"[0.0625, 0.125, 0.25]",['cfp'],1.2310146790360896,-2.5237488059946602,5.028680318909144,,,1.9101455472238773,secondary_no_simultaneous_classification,False
