method,rho,seed_subset,difference_pp,ci95_low,ci95_high
Learned channel / Linear resampling,1/4,[3416],0.34234195482816254,-4.216525002256875,4.9472110606408926
Learned channel / Linear resampling,1/4,[3417],0.0,0.0,0.0
Learned channel / Linear resampling,1/4,[3418],1.3800814858019095,-2.8867696029402263,5.535245084141578
Random QR / Linear resampling,1/16,"[3416, 3417, 3418]",0.0,0.0,0.0
Random QR / Linear resampling,1/16,[3416],0.0,0.0,0.0
Random QR / Linear resampling,1/16,[3417],0.0,0.0,0.0
Random QR / Linear resampling,1/16,[3418],0.0,0.0,0.0
SVD / OCT to CFP,1/16,"[3416, 3417, 3418]",1.1148872431019734,-0.7621837388472342,3.0328063629237625
SVD / OCT to CFP,1/16,[3416],0.3064547262897066,-4.054470533176556,4.700325240973976
SVD / OCT to CFP,1/16,[3417],3.0382070030162134,-1.0281592307436171,7.105056580485033
SVD / OCT to CFP,1/16,[3418],0.0,0.0,0.0
SVD / CFP to OCT,1/16,"[3416, 3417, 3418]",0.11632600905253272,-1.422003861103563,1.653920484588908
SVD / CFP to OCT,1/16,[3416],0.3489780271575982,-4.266011583310688,4.961761453766723
SVD / CFP to OCT,1/16,[3417],0.0,0.0,0.0
SVD / CFP to OCT,1/16,[3418],0.0,0.0,0.0
Random QR / OCT to CFP,1/16,"[3416, 3417, 3418]",0.0,0.0,0.0
Random QR / OCT to CFP,1/16,[3416],0.0,0.0,0.0
Random QR / OCT to CFP,1/16,[3417],0.0,0.0,0.0
Random QR / OCT to CFP,1/16,[3418],0.0,0.0,0.0
Random QR / CFP to OCT,1/16,"[3416, 3417, 3418]",-0.0134519600479129,-1.3829255338152422,1.3514901777255188
Random QR / CFP to OCT,1/16,[3416],-0.0403558801437387,-4.148776601445727,4.0544705331765565
Random QR / CFP to OCT,1/16,[3417],0.0,0.0,0.0
Random QR / CFP to OCT,1/16,[3418],0.0,0.0,0.0
Random QR / Linear resampling,1/8,"[3416, 3417, 3418]",0.0,0.0,0.0
Random QR / Linear resampling,1/8,[3416],0.0,0.0,0.0
Random QR / Linear resampling,1/8,[3417],0.0,0.0,0.0
Random QR / Linear resampling,1/8,[3418],0.0,0.0,0.0
SVD / OCT to CFP,1/8,"[3416, 3417, 3418]",-0.6091685202697872,-3.8661602179559353,2.7127837080401327
SVD / OCT to CFP,1/8,[3416],-2.354218319874357,-7.103675659813619,2.372185933067088
SVD / OCT to CFP,1/8,[3417],3.696221903280572,-1.7186647764840524,9.110707465742502
SVD / OCT to CFP,1/8,[3418],-3.1695091442155765,-8.7212793254645,2.4321208958611265
SVD / CFP to OCT,1/8,"[3416, 3417, 3418]",-0.9376933849772414,-3.8130530445614936,2.051759309845555
SVD / CFP to OCT,1/8,[3416],-1.4904280905424616,-6.734908928259437,3.859033628098503
SVD / CFP to OCT,1/8,[3417],0.0,0.0,0.0
SVD / CFP to OCT,1/8,[3418],-1.3226520643892625,-6.848234892862768,4.332710552569643
Random QR / OCT to CFP,1/8,"[3416, 3417, 3418]",1.7691257708338977,0.294444660756447,3.2434765236678915
Random QR / OCT to CFP,1/8,[3416],0.0,0.0,0.0
Random QR / OCT to CFP,1/8,[3417],5.307377312501693,0.8833339822693409,9.730429571003674
Random QR / OCT to CFP,1/8,[3418],0.0,0.0,0.0
Random QR / CFP to OCT,1/8,"[3416, 3417, 3418]",-0.12209546503417397,-2.5321765865268233,2.3366145277308674
Random QR / CFP to OCT,1/8,[3416],0.34234195482816254,-4.32074013851913,5.044915148126023
Random QR / CFP to OCT,1/8,[3417],0.0,0.0,0.0
Random QR / CFP to OCT,1/8,[3418],-0.7086283499306845,-5.258231751061712,3.877768942927167
Random QR / Linear resampling,1/4,"[3416, 3417, 3418]",1.2990752042991753,-1.4347591871037573,3.9677942532334916
Random QR / Linear resampling,1/4,[3416],-0.662317696641701,-5.5726461066928525,4.036690665974554
Random QR / Linear resampling,1/4,[3417],3.0064232258657952,-1.4939881683117806,7.409451546289908
