protocol,structure,backbone_lr,metric,count,mean_percent,sample_sd_pp
branch,linear_resample_M32_S32_k3_r32,3e-05,late_fusion_macro_f1,3,68.10454095475582,3.7039927000110247
branch,linear_resample_M32_S32_k3_r32,6e-05,cfp_macro_f1,3,66.43519868933767,2.394259669356792
branch,linear_resample_M32_S32_k3_r32,6e-05,oct_macro_f1,3,65.14623077083832,0.8650888874336947
branch,linear_resample_M32_S32_k3_r32,6e-05,branch_mean_macro_f1,3,65.79071473008798,1.6287795462002221
branch,linear_resample_M32_S32_k3_r32,6e-05,primary_macro_f1,3,65.79071473008798,1.6287795462002221
branch,linear_resample_M32_S32_k3_r32,6e-05,late_fusion_macro_f1,3,67.6455345248447,3.8872888123792726
branch,radon_M32_S32_k3_r32,3e-05,cfp_macro_f1,3,69.88292339267487,1.9455810751459808
branch,radon_M32_S32_k3_r32,3e-05,oct_macro_f1,3,68.45961980694786,1.041893375959781
branch,radon_M32_S32_k3_r32,3e-05,branch_mean_macro_f1,3,69.17127159981136,1.4030704639481733
branch,radon_M32_S32_k3_r32,3e-05,primary_macro_f1,3,69.17127159981136,1.4030704639481733
branch,radon_M32_S32_k3_r32,3e-05,late_fusion_macro_f1,3,69.56650949937888,2.394022461422471
branch,radon_M32_S32_k3_r32,6e-05,cfp_macro_f1,3,68.50622907763541,3.3359466842967413
branch,radon_M32_S32_k3_r32,6e-05,oct_macro_f1,3,67.14655980219594,1.7726226269692062
branch,radon_M32_S32_k3_r32,6e-05,branch_mean_macro_f1,3,67.82639443991569,2.3887284639403896
branch,radon_M32_S32_k3_r32,6e-05,primary_macro_f1,3,67.82639443991569,2.3887284639403896
branch,radon_M32_S32_k3_r32,6e-05,late_fusion_macro_f1,3,68.12907194344142,1.8506809994567681
branch,linear_resample_M32_S32_k3_r45,3e-05,cfp_macro_f1,3,66.1018618755363,1.9813607608260038
branch,linear_resample_M32_S32_k3_r45,3e-05,oct_macro_f1,3,66.06358655244567,2.4742950516005418
branch,linear_resample_M32_S32_k3_r45,3e-05,branch_mean_macro_f1,3,66.08272421399097,2.100901889143318
branch,linear_resample_M32_S32_k3_r45,3e-05,primary_macro_f1,3,66.08272421399097,2.100901889143318
branch,linear_resample_M32_S32_k3_r45,3e-05,late_fusion_macro_f1,3,67.98857438244077,3.6254930260589275
branch,linear_resample_M32_S32_k3_r45,6e-05,cfp_macro_f1,3,67.41394190769748,2.9337002929816123
branch,linear_resample_M32_S32_k3_r45,6e-05,oct_macro_f1,3,66.07231597985195,0.8610718205979688
branch,linear_resample_M32_S32_k3_r45,6e-05,branch_mean_macro_f1,3,66.7431289437747,1.8850472979474848
branch,linear_resample_M32_S32_k3_r45,6e-05,primary_macro_f1,3,66.7431289437747,1.8850472979474848
branch,linear_resample_M32_S32_k3_r45,6e-05,late_fusion_macro_f1,3,69.11659264887041,0.7364191531299704
branch,radon_M32_S32_k3_r45,3e-05,cfp_macro_f1,3,69.22204522055634,1.3735426189661937
branch,radon_M32_S32_k3_r45,3e-05,oct_macro_f1,3,66.05935289148107,2.8817042704961837
branch,radon_M32_S32_k3_r45,3e-05,branch_mean_macro_f1,3,67.6406990560187,1.5014836337829875
branch,radon_M32_S32_k3_r45,3e-05,primary_macro_f1,3,67.6406990560187,1.5014836337829875
branch,radon_M32_S32_k3_r45,3e-05,late_fusion_macro_f1,3,67.76572101310217,2.0793504388242847
branch,radon_M32_S32_k3_r45,6e-05,cfp_macro_f1,3,69.47974148876561,2.5589208016642337
branch,radon_M32_S32_k3_r45,6e-05,oct_macro_f1,3,69.47267961284952,3.1884525364057508
branch,radon_M32_S32_k3_r45,6e-05,branch_mean_macro_f1,3,69.47621055080758,2.871065142117652
branch,radon_M32_S32_k3_r45,6e-05,primary_macro_f1,3,69.47621055080758,2.871065142117652
branch,radon_M32_S32_k3_r45,6e-05,late_fusion_macro_f1,3,69.70491776647897,4.276761032986045
branch,linear_resample_M32_S128_k3_r11,3e-05,cfp_macro_f1,3,65.41778964541145,1.5237155995333955
branch,linear_resample_M32_S128_k3_r11,3e-05,oct_macro_f1,3,65.17768445103131,1.0119068650766907
branch,linear_resample_M32_S128_k3_r11,3e-05,branch_mean_macro_f1,3,65.29773704822138,1.1111760763298149
branch,linear_resample_M32_S128_k3_r11,3e-05,primary_macro_f1,3,65.29773704822138,1.1111760763298149
