id,training_id,seed,arm,regime,rho,r,h,cfp_f1_percent,oct_f1_percent,mean_f1_percent,best_epoch,stop_epoch,prediction_sha256,selected_sha256
seed3417_mmtm_r8,seed3417_mmtm_r8,3417,mmtm_r8,independent_width,,,,63.847637745842235,64.1875542163174,64.01759598107981,0,8,0d12cca1f3fba7e07a8ced1625ee072883cd009dbf0a11568cc31ca4af018ef2,f0a89d74f3cf81e6b459996cb9b63e2456834f7072325de63679cbe9ed15b09d
seed3417_attention_d128,seed3417_attention_d128,3417,attention_d128,independent_width,,,,63.847637745842235,64.1875542163174,64.01759598107981,0,8,0d12cca1f3fba7e07a8ced1625ee072883cd009dbf0a11568cc31ca4af018ef2,a9e6d88838fe356b24c7cf0572df4687fa40c638d8de0459203f64bb88a81772
seed3417_attention_d256,seed3417_attention_d256,3417,attention_d256,independent_width,,,,63.847637745842235,64.1875542163174,64.01759598107981,0,8,0d12cca1f3fba7e07a8ced1625ee072883cd009dbf0a11568cc31ca4af018ef2,5ff7e59a49ca433aa864c3164aa7cd08de423f6456523b3cf43e4d06d1aff480
seed3418_mmtm_r4,seed3418_mmtm_r4,3418,mmtm_r4,independent_width,,,,65.87798892883639,64.1875542163174,65.03277157257689,0,8,c7a857505ce62d0039a10fc876d34c88560f1cfa9301741a27a4eff52202e933,106f82fcfb1453188f7db4b483410743aa13312d061e55fd52a95e3f6f7b9e78
seed3418_mmtm_r8,seed3418_mmtm_r8,3418,mmtm_r8,independent_width,,,,65.87798892883639,64.1875542163174,65.03277157257689,0,8,c7a857505ce62d0039a10fc876d34c88560f1cfa9301741a27a4eff52202e933,8055aa6b8ba7945110f8172176f761d0630bdf40c18e57b130a839b960db508e
seed3418_attention_d128,seed3418_attention_d128,3418,attention_d128,independent_width,,,,64.8391812865497,67.89624504800722,66.36771316727845,10,16,fee49e19d69f1ac3025105effbac549f235a956f89e2586eb6131274893732b8,2788f3df48834cd4eb713c8b687b0e64f4e1605f7dfdf9d675613abd2448edad
seed3418_attention_d256,seed3418_attention_d256,3418,attention_d256,independent_width,,,,64.1875542163174,69.90460958473753,67.04608190052747,17,18,c32b26d744fc44bf7d96a3a4f59d926d551edcd8c994c721b85bff06cbdcf7d4,450483a2e679c6951bb5acbe2eddb3ab6a776ad2fc1744e6db9859cd334fd29c
seed3416_qr_self_rho1_16,seed3416_qr_self_rho1_16,3416,qr_self,independent_width,0.0625,16,512,66.8903803131991,65.13545347467608,66.01291689393759,0,8,2858f087207b5105660c0c821acd6fae7bccfb1ad4c2bc220999c0127e698906,9438f40e308a2705163a02e7002c015567c1088d2d6ee00abb9954e82e2da2b9
seed3416_qr_scrambled_rho1_16,seed3416_qr_scrambled_rho1_16,3416,qr_scrambled,independent_width,0.0625,16,512,68.57785336788156,67.22636319015604,67.90210827901879,9,13,6873aef800d2e0e18f5cccd58138cdf0398737492228db83683dc36cae7a56c3,91c05ed3cce115407b845947e396eb8418ed7e4f66928fca6952eca3f271f654
seed3416_qr_self_rho1_8,seed3416_qr_self_rho1_8,3416,qr_self,independent_width,0.125,32,1024,66.8903803131991,65.13545347467608,66.01291689393759,0,8,2858f087207b5105660c0c821acd6fae7bccfb1ad4c2bc220999c0127e698906,c84dfcbf72e1c47ec5234ab25e34e6af3004cc1f8c61c3f7138f73035c7bdb0a
seed3416_qr_scrambled_rho1_8,seed3416_qr_scrambled_rho1_8,3416,qr_scrambled,independent_width,0.125,32,1024,70.48650507134262,66.67279411764706,68.57964959449484,10,16,7540efde59b28a46d12fe97c1188465bd17a7c66ce1e25496cb3075d97f5316c,51221a8a6ec2d63b1e3168439be415dbdf87814b7579f9f0eb01a8f4f3205384
seed3416_qr_self_rho1_4,seed3416_qr_self_rho1_4,3416,qr_self,independent_width,0.25,64,2048,66.8903803131991,65.13545347467608,66.01291689393759,0,8,2858f087207b5105660c0c821acd6fae7bccfb1ad4c2bc220999c0127e698906,bc0ade087b8cfa259964c181adb9593600ede19615a192ba740e2bfdfc69142e
seed3416_qr_scrambled_rho1_4,seed3416_qr_scrambled_rho1_4,3416,qr_scrambled,independent_width,0.25,64,2048,69.25359845674433,71.62032598274209,70.43696221974321,7,13,cc5b06bb5705b213341a87b37b4d2ea1a91db13dacb40c68c8bdc546143cf4c7,b6004a39a28a0590e5adfeb1939399f3e06d04e34e87198c9b9e4171c1ca33a3
seed3417_qr_self_rho1_16,seed3417_qr_self_rho1_16,3417,qr_self,independent_width,0.0625,16,512,63.847637745842235,64.1875542163174,64.01759598107981,0,8,0d12cca1f3fba7e07a8ced1625ee072883cd009dbf0a11568cc31ca4af018ef2,8e09de50b19af452e79bb5b26cfedb1e87e4ba59cdb0f7746c4ec2dc54ed0ca2
seed3417_qr_scrambled_rho1_16,seed3417_qr_scrambled_rho1_16,3417,qr_scrambled,independent_width,0.0625,16,512,63.847637745842235,64.1875542163174,64.01759598107981,0,8,0d12cca1f3fba7e07a8ced1625ee072883cd009dbf0a11568cc31ca4af018ef2,bc8f116a387e109a17b26b0445d4c34b27909b99a2bd24f7283cd5c8271398ea
seed3417_qr_self_rho1_8,seed3417_qr_self_rho1_8,3417,qr_self,independent_width,0.125,32,1024,63.847637745842235,64.1875542163174,64.01759598107981,0,8,0d12cca1f3fba7e07a8ced1625ee072883cd009dbf0a11568cc31ca4af018ef2,6a3344360356ebd9f497ee91f4daa5e838b3cf91082dc918dec2b2a826414dc3
seed3417_qr_scrambled_rho1_8,seed3417_qr_scrambled_rho1_8,3417,qr_scrambled,independent_width,0.125,32,1024,67.18441053774502,65.53896726475826,66.36168890125164,13,19,58732e8685c4a85053e024bb00566789680c0255dddf39d93f7f8b696b50631f,d4552f8c1aed832f5f5cd3f0ed86a088d7654cc8a105ca5a52808fc2e1e42dee
seed3417_qr_self_rho1_4,seed3417_qr_self_rho1_4,3417,qr_self,independent_width,0.25,64,2048,63.847637745842235,64.1875542163174,64.01759598107981,0,8,0d12cca1f3fba7e07a8ced1625ee072883cd009dbf0a11568cc31ca4af018ef2,06784ec0dc39f44aa18f7c29244a93f09ba0e6a12bfb60626524f6f8f1d83ea8
seed3417_qr_scrambled_rho1_4,seed3417_qr_scrambled_rho1_4,3417,qr_scrambled,independent_width,0.25,64,2048,66.53533865497276,69.48173944920497,68.00853905208886,6,12,07b7567aed6a716aa3f896b530ce9d130d0c021da2a307272a7a41f151490992,eccab8ccaf90467f483376417ad4a754c8c429a4061b26ad676049930f7894a1
seed3418_qr_self_rho1_16,seed3418_qr_self_rho1_16,3418,qr_self,independent_width,0.0625,16,512,65.87798892883639,64.1875542163174,65.03277157257689,0,8,c7a857505ce62d0039a10fc876d34c88560f1cfa9301741a27a4eff52202e933,4cd26254d6774a330568b338555add3acaaa1d2c760a8b408a5f7fff7a626e20
